CardCode,CardName,GroupName,Address,Township,Channel,Latitude,Longitude,Phone
C0001,Aung Min Store,General Trade,"No.29, Pyay Road, Yankin",Yankin,General Trade,16.848978,96.113954,09310053353
C0002,Golden Star Shop,General Trade,"No.190, Waizayantar Road, Thingangyun",Thingangyun,General Trade,16.918099,96.103178,09300604502
C0003,Myat Noe Trading,General Trade,"No.60, Sule Pagoda Road, Dagon",Dagon,General Trade,16.912249,96.171602,09953041955
C0004,Shwe Pyi Thar Mart,Wholesales,"No.108, Inya Road, North Okkalapa",North Okkalapa,Wholesales,16.855638,96.18693,09371432881
C0005,Thiri Yadanar Store,Wholesales,"No.109, Bogyoke Aung San Road, Shwe Pyi Thar",Shwe Pyi Thar,Wholesales,16.843063,96.176349,09309747451
C0006,Kyaw Zin Mini Mart,General Trade,"No.98, Kaba Aye Pagoda Road, Tamwe",Tamwe,General Trade,16.868791,96.126452,09246654552
C0007,Nay Lin Trading,General Trade,"No.118, Sule Pagoda Road, Hlaing Tharyar",Hlaing Tharyar,General Trade,16.984459,96.10788,09514797776
C0008,Htoo Aung Shop,Pharmacy,"No.161, Shwedagon Pagoda Road, East Dagon",East Dagon,Pharmacy,16.872327,96.119229,09274684276
C0009,Mya Thi Da Store,Wholesales,"No.170, Inya Road, Insein",Insein,Wholesales,16.997044,96.185532,09308449460
C0010,Win Win Grocery,Modern Trade,"No.72, Mahabandoola Road, Kyauktada",Kyauktada,Modern Trade,16.872966,96.137018,09424956459
C0011,Aye Aye Mon Store,Pharmacy,"No.69, Thanlwin Road, Thingangyun",Thingangyun,Pharmacy,16.929607,96.160913,09383758720
C0012,Zaw Zaw Trading,General Trade,"No.187, Inya Road, North Okkalapa",North Okkalapa,General Trade,16.875891,96.198952,09887194506
C0013,Hla Hla Win Shop,Modern Trade,"No.143, Inya Road, Shwe Pyi Thar",Shwe Pyi Thar,Modern Trade,16.96857,96.1776,09445938494
C0014,Kyaw Soe Mart,General Trade,"No.9, Lower Pazundaung Road, East Dagon",East Dagon,General Trade,16.853548,96.121098,09809004943
